Order ID,Customer ID,Customer Name,Product ID,Product Name,Quantity,Total Price,Date
9187346,57820,McDonalds HQ,5927583,MaxBond Anchors,5,50.0,2023-01-21
6157443,10539,MAG Industries,9382754,Safety Lock,2,260.0,2023-07-03
9250014,19642,Microsolutions,8473612,Steel Chain,5,945.0,2023-10-29
5612580,71405,Apple,8327493,IronGrip Nuts & Bolts pack,3,819.0,2023-01-12
6531151,57820-1,McDonalds New York,5927583,MaxBond Anchors,4,40.0,2023-04-18
6967215,57820-1,McDonalds New York,4938583,SolidSpan Coupling,1,5.3,2023-03-31
7943442,10539,EKG Technologies,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-09-06
7042383,57820-2,McDonalds Miami,2394206,Aluminum Head Bolt,3,30.0,2023-01-13
6961284,19642,Microsolutions,4206932,Megafix Fastener,5,6.861711711711712,2023-10-12
8626899,10539,EKG Technologies,2394206,Aluminum Head Bolt,3,30.0,2023-01-21
8186392,57820,McDonalds HQ,4206932,Megafix Fastener,3,4.117027027027027,2022-12-27
5120857,57820,McDonalds HQ,2394206,Aluminum Head Bolt,2,20.0,2023-10-31
5432544,57820,McDonalds HQ,1958372,Bracing System,1,577.8234234234234,2023-10-16
6982766,57820-2,McDonalds Miami,1958372,Bracing System,4,2311.2936936936935,2023-01-23
8235027,19642,Microsolutions,4938583,SolidSpan Coupling,5,26.5,2023-01-15
8622016,57820-2,McDonalds Miami,5927583,MaxBond Anchors,4,40.0,2023-05-29
6961284,19642,Microsolutions,1958372,Bracing System,1,577.8234234234234,2023-10-12
8641673,71405-77,Apple - Grand Central Station,8473612,Steel Chain,2,378.0,2023-08-01
8186392,57820,McDonalds HQ,8473612,Steel Chain,1,189.0,2022-12-27
6673881,57820-1,McDonalds New York,4206932,Megafix Fastener,2,2.744684684684685,2023-02-02
7787280,57820,McDonalds HQ,3958382,Red Clamps,1,12.0,2023-03-23
8186392,57820,McDonalds HQ,9382754,Safety Lock,1,130.0,2022-12-27
7943442,10539,EKG Technologies,1958372,Bracing System,5,2889.117117117117,2023-09-06
7042383,57820-2,McDonalds Miami,8473612,Steel Chain,2,378.0,2023-01-13
8186392,57820,McDonalds HQ,9382754,Safety Lock,5,650.0,2022-12-27
5120857,57820,McDonalds HQ,2756483,Truefit Seals,2,8.46849269069069,2023-10-31
8186392,57820,McDonalds HQ,4938583,SolidSpan Coupling,5,26.5,2022-12-27
8622016,57820-2,McDonalds Miami,4206932,Megafix Fastener,2,2.744684684684685,2023-05-29
5612580,71405,Apple,2756483,Truefit Seals,3,12.702739036036036,2023-01-12
6847088,57820-1,McDonalds New York,2394206,Aluminum Head Bolt,3,30.0,2023-08-05
6477952,57820,McDonalds HQ,5927583,MaxBond Anchors,4,40.0,2023-10-20
9187346,57820,McDonalds HQ,3958382,Red Clamps,4,48.0,2023-01-21
6847088,57820-1,McDonalds New York,5927583,MaxBond Anchors,5,50.0,2023-08-05
6477952,57820,McDonalds HQ,9382754,Safety Lock,4,520.0,2023-10-20
5612580,71405,Apple,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-01-12
8186392,57820,McDonalds HQ,9382754,Safety Lock,4,520.0,2022-12-27
6339941,10539,EKG Technologies,4206932,Megafix Fastener,4,5.48936936936937,2023-11-27
6847088,57820-1,McDonalds New York,4938583,SolidSpan Coupling,1,5.3,2023-08-05
7943442,10539,EKG Technologies,9375732,PivotPlus Hinges,2,6.345046906490468,2023-09-06
9250014,19642,Microsolutions,2064306,Steel Screw,4,0.4,2023-10-29
5120857,57820,McDonalds HQ,4206932,Megafix Fastener,4,5.48936936936937,2023-10-31
5417130,71405,Apple,1958372,Bracing System,4,2311.2936936936935,2023-04-28
6339941,10539,EKG Technologies,4206932,Megafix Fastener,3,4.117027027027027,2023-11-27
8626899,10539,EKG Technologies,4938583,SolidSpan Coupling,2,10.6,2023-01-21
5786407,57820-1,McDonalds New York,9375732,PivotPlus Hinges,4,12.690093812980937,2023-12-03
6967215,57820-1,McDonalds New York,4938583,SolidSpan Coupling,4,21.2,2023-03-31
6531151,57820-1,McDonalds New York,2756483,Truefit Seals,4,16.93698538138138,2023-04-18
5417130,71405,Apple,4206932,Megafix Fastener,4,5.48936936936937,2023-04-28
6967215,57820-1,McDonalds New York,5927583,MaxBond Anchors,4,40.0,2023-03-31
6961284,19642,Microsolutions,2064306,Steel Screw,5,0.5,2023-10-12
5923495,19642,Microsolutions,8327493,IronGrip Nuts & Bolts pack,2,546.0,2023-07-06
5786407,57820-1,McDonalds New York,2064306,Steel Screw,3,0.30000000000000004,2023-12-03
5786407,57820-1,McDonalds New York,8327493,IronGrip Nuts & Bolts pack,3,819.0,2023-12-03
9896169,19642,Microsolutions,5927583,MaxBond Anchors,1,10.0,2023-06-14
6961284,19642,Microsolutions,2756483,Truefit Seals,4,16.93698538138138,2023-10-12
6675732,19642,Microsolutions,8327493,IronGrip Nuts & Bolts pack,3,819.0,2023-06-02
5612580,71405,Apple,5927583,MaxBond Anchors,5,50.0,2023-01-12
6673881,57820-1,McDonalds New York,2064306,Steel Screw,4,0.4,2023-02-02
9250014,19642,Microsolutions,9375732,PivotPlus Hinges,2,6.345046906490468,2023-10-29
6967215,57820-1,McDonalds New York,2756483,Truefit Seals,2,8.46849269069069,2023-03-31
6967215,57820-1,McDonalds New York,1958372,Bracing System,2,1155.6468468468468,2023-03-31
6339941,10539,EKG Technologies,2756483,Truefit Seals,4,16.93698538138138,2023-11-27
5786407,57820-1,McDonalds New York,9382754,Safety Lock,4,520.0,2023-12-03
6982766,57820-2,McDonalds Miami,1958372,Bracing System,4,2311.2936936936935,2023-01-23
6264823,19642,Microsolutions,8473612,Steel Chain,1,189.0,2023-05-05
5432544,57820,McDonalds HQ,2394206,Aluminum Head Bolt,5,50.0,2023-10-16
6673881,57820-1,McDonalds New York,5927583,MaxBond Anchors,1,10.0,2023-02-02
5432544,57820,McDonalds HQ,1958372,Bracing System,2,1155.6468468468468,2023-10-16
6339941,10539,EKG Technologies,2394206,Aluminum Head Bolt,5,50.0,2023-11-27
9187346,57820,McDonalds HQ,2064306,Steel Screw,1,0.1,2023-01-21
6847088,57820-1,McDonalds New York,2064306,Steel Screw,1,0.1,2023-08-05
5612580,71405,Apple,4206932,Megafix Fastener,2,2.744684684684685,2023-01-12
7807269,10539,EKG Technologies,4938583,SolidSpan Coupling,2,10.6,2023-07-22
6339941,10539,EKG Technologies,4206932,Megafix Fastener,3,4.117027027027027,2023-11-27
5407670,10539,EKG Technologies,2756483,Truefit Seals,3,12.702739036036036,2023-08-12
8641673,71405-77,Apple - Grand Central Station,4206932,Megafix Fastener,5,6.861711711711712,2023-08-01
6339941,10539,EKG Technologies,2064306,Steel Screw,4,0.4,2023-11-27
8186392,57820,McDonalds HQ,4206932,Megafix Fastener,3,4.117027027027027,2022-12-27
6673881,57820-1,McDonalds New York,4206932,Megafix Fastener,1,1.3723423423423424,2023-02-02
5786407,57820-1,McDonalds New York,4206932,Megafix Fastener,5,6.861711711711712,2023-12-03
8641673,71405-77,Apple - Grand Central Station,2394206,Aluminum Head Bolt,1,10.0,2023-08-01
6477952,57820,McDonalds HQ,4938583,SolidSpan Coupling,5,26.5,2023-10-20
5417130,71405,Apple,8327493,IronGrip Nuts & Bolts pack,4,1092.0,2023-04-28
8235027,19642,Microsolutions,5927583,MaxBond Anchors,5,50.0,2023-01-15
9896169,19642,Microsolutions,5927583,MaxBond Anchors,4,40.0,2023-06-14
7042383,57820-2,McDonalds Miami,1958372,Bracing System,3,1733.4702702702702,2023-01-13
7943442,10539,EKG Technologies,9382754,Safety Lock,3,390.0,2023-09-06
6961284,19642,Microsolutions,8473612,Steel Chain,5,945.0,2023-10-12
8622016,57820-2,McDonalds Miami,3958382,Red Clamps,1,12.0,2023-05-29
6339941,10539,EKG Technologies,9382754,Safety Lock,1,130.0,2023-11-27
9250014,19642,Microsolutions,9375732,PivotPlus Hinges,2,6.345046906490468,2023-10-29
5768493,57820,McDonalds HQ,4938583,SolidSpan Coupling,3,15.899999999999999,2023-12-03
8102928,19642,Microsolutions,4938583,SolidSpan Coupling,1,5.3,2023-10-16
7943442,10539,EKG Technologies,5927583,MaxBond Anchors,1,10.0,2023-09-06
8622016,57820-2,McDonalds Miami,8327493,IronGrip Nuts & Bolts pack,5,1365.0,2023-05-29
6590042,10539,MAG Industries,5927583,MaxBond Anchors,5,50.0,2023-11-09
6264823,19642,Microsolutions,3958382,Red Clamps,2,24.0,2023-05-05
9250014,19642,Microsolutions,4206932,Megafix Fastener,3,4.117027027027027,2023-10-29
5432544,57820,McDonalds HQ,3958382,Red Clamps,4,48.0,2023-10-16
5120857,57820,McDonalds HQ,1958372,Bracing System,3,1733.4702702702702,2023-10-31